# Architecture boundary baseline
# Generated by :generateArchitectureBoundaryBaseline
# Format: RULE|FILE|LINE|MESSAGE

UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/BiometricAuthManager.kt|109|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/ImageCompressor.kt|38|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsAccountMatcher.kt|151|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsCategoryMatcher.kt|8|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsCategoryMatcher.kt|14|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsCategoryMatcher.kt|30|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsCategoryMatcher.kt|35|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsCategoryMatcher.kt|330|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsDuplicateDetector.kt|6|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsFingerprint.kt|3|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsParser.kt|8|Do not add new data or enum declarations under utils without explicit ownership
UTILS_BUSINESS_DECLARATION|app/src/main/java/dev/lanthoor/spendly/utils/SmsParser.kt|27|Do not add new data or enum declarations under utils without explicit ownership
